record_type,record_id,category,subdomain,priority,english,plain_language_use,nauruan,source_id,source_title,pdf_page,dictionary_page,source_url,status,clinical_safety_flag,evidence_note,notes,english_norm,nauruan_norm
term,HV-001,Emergency/core,Emergency communication,Emergency,help,Immediate assistance request,badk,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,23,18,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate; verify initial character,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,help,badk
term,HV-002,Emergency/core,Emergency communication,Emergency,danger,Danger / unsafe situation,egatirae,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,14,9,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,danger,egatirae
term,HV-003,Emergency/core,Emergency communication,Emergency,sick,General illness,arak,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,39,34,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,sick,arak
term,HV-004,Emergency/core,Emergency communication,High,pain,Pain complaint,"aror, karone",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,32,27,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,Image-read from SRC-002 p.32; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,pain,aror karone
term,HV-005,Emergency/core,Emergency communication,High,hospital,Hospital / health facility,ewak in arak,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,24,19,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Sample OCR / page image,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,hospital,ewak in arak
term,HV-006,Emergency/core,Emergency communication,High,doctor,Doctor / clinician,amen kégémwe,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,16,11,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,doctor,amen kegemwe
term,HV-007,Emergency/core,Emergency communication,High,physician,Physician / clinician,amen kégénwe,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,33,28,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Sample OCR / page image,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,physician,amen kegenwe
term,HV-008,Emergency/core,Emergency communication,High,patient,Patient,amen arak,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,33,28,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Sample OCR / page image,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,patient,amen arak
term,HV-009,Emergency/core,Emergency communication,High,medicine,Medicine / medication,ekégémwe,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,28,23,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,medicine,ekegemwe
term,HV-010,Emergency/core,Emergency communication,High,dispensary,Medication or clinic area,ewak in kégémwe,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,16,11,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,dispensary,ewak in kegemwe
term,HV-011,Emergency/core,Consent/basic questions,High,name,Patient identity,eg,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,30,25,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,Image/OCR candidate; phrase page also has EGEN,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,name,eg
term,HV-012,Emergency/core,Consent/basic questions,High,what,Question starter,ekeken,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,what,ekeken
term,HV-013,Emergency/core,Consent/basic questions,High,who,Identity question,ijegen,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate; row OCR label degraded,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,who,ijegen
term,HV-014,Emergency/core,Consent/basic questions,High,where,Location question,"i, iha",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate; row OCR label degraded,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,where,i iha
term,HV-015,Emergency/core,Consent/basic questions,High,when,Time question,"ijet, tsin ia",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,when,ijet tsin ia
term,HV-016,Emergency/core,Consent/basic questions,High,understand,Comprehension check,tsiet,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,43,38,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,understand,tsiet
term,HV-017,Emergency/core,Consent/basic questions,Medium,translate,Translation/interpreter request,gait,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,43,38,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,translate,gait
term,HV-018,Emergency/core,Actions,High,come,Call patient to come,"tuko, erre",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,13,8,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image-read from SRC-002 p.13; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,come,tuko erre
term,HV-019,Emergency/core,Actions,High,wait,Waiting instruction,"óaih, oberel",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,44,39,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,wait,oaih oberel
term,HV-020,Emergency/core,Actions,High,go,Movement instruction,,,,,,,NO_CANDIDATE_AVAILABLE,Routine,Not found yet in current OCR seed; needs manual search in Jacob or full dictionary,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,go,
term,HV-021,Emergency/core,Actions,High,return,Return / come back,reda,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,36,31,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image-read from page 36; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,return,reda
term,HV-022,Emergency/core,Actions,Medium,send,Send/referral instruction,éijén,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,38,33,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image/OCR candidate; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,send,eijen
term,HV-023,Emergency/core,Actions,Medium,call,Call / summon,"ekaker, omwewin",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,11,6,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image-read from page 11; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,call,ekaker omwewin
term,HV-024,Emergency/core,Actions,Medium,speak,Speak,"dorer, kakairu",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,40,35,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image/OCR candidate; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,speak,dorer kakairu
term,HV-025,Emergency/core,Actions,Medium,talk,Talk,"kakairu, dorer",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,41,36,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image/OCR candidate; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,talk,kakairu dorer
term,HV-026,Emergency/core,Actions,Medium,tell,Tell / inform,pan,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,41,36,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image/OCR candidate; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,tell,pan
term,HV-027,Symptoms,Pain/injury,High,ache,Ache,maga,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,6,1,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,Sample OCR / page image; OCR variant also read mage,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,ache,maga
term,HV-028,Symptoms,Pain/injury,High,toothache,Dental pain,emaga inwt,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,43,38,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate; verify final form,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,toothache,emaga inwt
term,HV-029,Symptoms,Pain/injury,High,wound,Wound / injury,,,,,,,NO_CANDIDATE_AVAILABLE,Safety critical,Not found yet in current OCR seed; needs manual search in Jacob or full dictionary,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,wound,
term,HV-030,Symptoms,Pain/injury,High,blood,Blood / bleeding-related communication,era,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,10,5,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,blood,era
term,HV-031,Symptoms,Pain/injury,High,bleed,Bleeding,rara,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,10,5,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR line: Bleed                    rara,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,bleed,rara
term,HV-032,Symptoms,Pain/injury,High,accident,Accident / trauma,egatéræ,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,6,1,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,Image-read from SRC-002 p.6; needs review,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,accident,egater
term,HV-033,Symptoms,Pain/injury,Medium,burn,Burn injury,bh,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,11,6,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR line: Burn                   bh,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,burn,bh
term,HV-034,Symptoms,Pain/injury,Medium,break,Fracture/break,bakoro,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,10,5,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR line: :             Break                    bakoro,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,break,bakoro
term,HV-035,Symptoms,Pain/injury,Medium,fall,Fall,pudu,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,19,14,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,fall,pudu
term,HV-036,Symptoms,General symptoms,High,fever,Fever,ikáí jarare,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,19,14,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate; verify diacritics,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,fever,ikai jarare
term,HV-037,Symptoms,General symptoms,High,heat,Heat / hot sensation,ininijow,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,23,18,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,heat,ininijow
term,HV-038,Symptoms,General symptoms,High,hot,Hot,kinijow,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,24,19,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,hot,kinijow
term,HV-039,Symptoms,General symptoms,High,cold,Cold / chill,"mwamwe, egaramwamwe",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,13,8,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image-read from SRC-002 p.13; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,cold,mwamwe egaramwamwe
term,HV-040,Symptoms,General symptoms,High,weakness,Weakness,ijardn,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,weakness,ijardn
term,HV-041,Symptoms,General symptoms,High,tired,Tired,eago,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,42,37,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,tired,eago
term,HV-042,Symptoms,General symptoms,High,weary,Weary/fatigued,gogoni,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,weary,gogoni
term,HV-043,Symptoms,General symptoms,Medium,faint,Faint,dégéd,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,18,13,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,faint,deged
term,HV-044,Symptoms,General symptoms,Medium,sleep,Sleep,mijimij,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,39,34,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,sleep,mijimij
term,HV-045,Symptoms,Respiratory,High,breath,Breath,énano,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,10,5,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,breath,enano
term,HV-046,Symptoms,Respiratory,High,breathe,Breathe,énano,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,10,5,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,breathe,enano
term,HV-047,Symptoms,GI,High,vomit,Vomiting,ean-bahd,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,44,39,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate; verify dash/diacritics,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,vomit,ean bahd
term,HV-048,Symptoms,GI,High,diarrhoea,Diarrhoea,ebdeow,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,15,10,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,diarrhoea,ebdeow
term,HV-049,Symptoms,GI,High,dysentery,Dysentery,ekabo,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,17,12,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,dysentery,ekabo
term,HV-050,Symptoms,GI,Medium,stool,Stool/faeces,amen torere,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,40,35,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image-read from SRC-002 p.40; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,stool,amen torere
term,HV-051,Symptoms,GI,Medium,spit,Spit,ura,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,40,35,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image/OCR candidate; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,spit,ura
term,HV-052,Symptoms,GI,Medium,saliva,Saliva,eberere,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,37,32,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,saliva,eberere
term,HV-053,Symptoms,Mental/state,Medium,fear,Fear,miow,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,19,14,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,fear,miow
term,HV-054,Symptoms,Mental/state,Medium,sad,Sad,"roe, mwijina",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,37,32,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Image/OCR candidate; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,sad,roe mwijina
term,HV-055,Symptoms,Mental/state,Medium,mad,Mad/crazy,dairinaija,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,28,23,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,mad,dairinaija
term,HV-056,Symptoms,Mental/state,Medium,dumb,Unable to speak / mute,eo kona edorer,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,17,12,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Sensitive,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,dumb,eo kona edorer
term,HV-057,Symptoms,Mental/state,Medium,deaf,Deaf / unable to hear,ad kaitó efég,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,14,9,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Sensitive,OCR/image candidate; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,deaf,ad kaito efeg
term,HV-058,Symptoms,Mental/state,Medium,blind,Blind / unable to see,eé at-iréAin,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,10,5,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Sensitive,OCR line: |                Blind                     eé at-iréAin,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,blind,ee at ireain
term,HV-059,Body parts,Head/face,High,head,Head,,,,,,,NO_CANDIDATE_AVAILABLE,Safety critical,Not found yet in current OCR seed; needs manual search in Jacob or full dictionary,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,head,
term,HV-060,Body parts,Head/face,High,face,Face,men,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,18,13,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,face,men
term,HV-061,Body parts,Head/face,High,eye,Eye,eme,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,18,13,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,eye,eme
term,HV-062,Body parts,Head/face,Medium,eyeball,Eyeball,éahat eme,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,18,13,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,eyeball,eahat eme
